symbol,buy_thr,sell_thr,min_edge,fee,slippage,Sharpe,Calmar,MaxDD,CAGR,total_return,profit_factor,win_rate,n_trades
BTC,0.65,0.4,0.02,0.001,0.0002,0.5331117780192435,0.32195132267290877,-0.6410992678127894,0.2064027572369609,1.4851790338961304,1.1739037737797564,0.2631926121372032,1516.0
BTC,0.65,0.4,0.03,0.001,0.0002,0.5331117780192435,0.32195132267290877,-0.6410992678127894,0.2064027572369609,1.4851790338961304,1.1739037737797564,0.2631926121372032,1516.0
BTC,0.55,0.45,0.01,0.0005,0.0002,0.5586448444587788,0.31754563411223813,-0.7680788440358726,0.24390008357756598,1.883029898665714,1.0982660276521912,0.25372549019607843,2550.0
BTC,0.55,0.45,0.02,0.0005,0.0002,0.5586448444587788,0.31754563411223813,-0.7680788440358726,0.24390008357756598,1.883029898665714,1.0982660276521912,0.25372549019607843,2550.0
BTC,0.55,0.45,0.03,0.0005,0.0002,0.5586448444587788,0.31754563411223813,-0.7680788440358726,0.24390008357756598,1.883029898665714,1.0982660276521912,0.25372549019607843,2550.0
BTC,0.55,0.4,0.01,0.0005,0.0002,0.5689636203942733,0.3168124673121338,-0.7726420283570176,0.2447826273528384,1.8929671613808843,1.1059102576701407,0.25234082397003743,2136.0
BTC,0.55,0.4,0.02,0.0005,0.0002,0.5689636203942733,0.3168124673121338,-0.7726420283570176,0.2447826273528384,1.8929671613808843,1.1059102576701407,0.25234082397003743,2136.0
BTC,0.55,0.4,0.03,0.0005,0.0002,0.5689636203942733,0.3168124673121338,-0.7726420283570176,0.2447826273528384,1.8929671613808843,1.1059102576701407,0.25234082397003743,2136.0
BTC,0.6,0.45,0.01,0.001,0.0005,0.5105567655318206,0.29661406946238084,-0.6852574220195211,0.20325699257451024,1.4538977752698883,1.1409643949915687,0.2545372050816697,2204.0
BTC,0.6,0.45,0.02,0.001,0.0005,0.5105567655318206,0.29661406946238084,-0.6852574220195211,0.20325699257451024,1.4538977752698883,1.1409643949915687,0.2545372050816697,2204.0
BTC,0.6,0.45,0.03,0.001,0.0005,0.5105567655318206,0.29661406946238084,-0.6852574220195211,0.20325699257451024,1.4538977752698883,1.1409643949915687,0.2545372050816697,2204.0
BTC,0.55,0.35,0.01,0.0005,0.0002,0.5617792776103582,0.2949191269578669,-0.79320457375271,0.23393120039013615,1.7726524195918638,1.1083465667217245,0.24893162393162394,1872.0
BTC,0.55,0.35,0.02,0.0005,0.0002,0.5617792776103582,0.2949191269578669,-0.79320457375271,0.23393120039013615,1.7726524195918638,1.1083465667217245,0.24893162393162394,1872.0
BTC,0.55,0.35,0.03,0.0005,0.0002,0.5617792776103582,0.2949191269578669,-0.79320457375271,0.23393120039013615,1.7726524195918638,1.1083465667217245,0.24893162393162394,1872.0
BTC,0.55,0.4,0.01,0.0005,0.0005,0.5290156881573426,0.2791528801333095,-0.7697024052150871,0.21486464326132726,1.5708969604268481,1.0975744630385131,0.25187265917602997,2136.0
BTC,0.55,0.4,0.02,0.0005,0.0005,0.5290156881573426,0.2791528801333095,-0.7697024052150871,0.21486464326132726,1.5708969604268481,1.0975744630385131,0.25187265917602997,2136.0
BTC,0.55,0.4,0.03,0.0005,0.0005,0.5290156881573426,0.2791528801333095,-0.7697024052150871,0.21486464326132726,1.5708969604268481,1.0975744630385131,0.25187265917602997,2136.0
BTC,0.6,0.35,0.01,0.001,0.001,0.5028858495499339,0.2702929254252817,-0.6977655122269489,0.18860108156069222,1.312254376521269,1.1501571097848224,0.24770642201834864,1526.0
BTC,0.6,0.35,0.02,0.001,0.001,0.5028858495499339,0.2702929254252817,-0.6977655122269489,0.18860108156069222,1.312254376521269,1.1501571097848224,0.24770642201834864,1526.0
BTC,0.6,0.35,0.03,0.001,0.001,0.5028858495499339,0.2702929254252817,-0.6977655122269489,0.18860108156069222,1.312254376521269,1.1501571097848224,0.24770642201834864,1526.0
BTC,0.6,0.45,0.01,0.001,0.0002,0.47456306469999,0.2480161228501946,-0.7109666651593795,0.17633119576856182,1.1987326280654962,1.1311234879131575,0.25635208711433755,2204.0
BTC,0.6,0.45,0.02,0.001,0.0002,0.47456306469999,0.2480161228501946,-0.7109666651593795,0.17633119576856182,1.1987326280654962,1.1311234879131575,0.25635208711433755,2204.0
BTC,0.6,0.45,0.03,0.001,0.0002,0.47456306469999,0.2480161228501946,-0.7109666651593795,0.17633119576856182,1.1987326280654962,1.1311234879131575,0.25635208711433755,2204.0
BTC,0.65,0.45,0.01,0.001,0.0002,0.4478478146478741,0.23339136976069003,-0.665723900246699,0.15537421296100606,1.0151030151583296,1.1394826098922113,0.261139896373057,1930.0
BTC,0.65,0.45,0.02,0.001,0.0002,0.4478478146478741,0.23339136976069003,-0.665723900246699,0.15537421296100606,1.0151030151583296,1.1394826098922113,0.261139896373057,1930.0
BTC,0.65,0.45,0.03,0.001,0.0002,0.4478478146478741,0.23339136976069003,-0.665723900246699,0.15537421296100606,1.0151030151583296,1.1394826098922113,0.261139896373057,1930.0
BTC,0.55,0.35,0.01,0.0005,0.0005,0.49166129930096275,0.23167607404399984,-0.7975678878344306,0.1847773970370461,1.2763899021783067,1.092724967707034,0.24732905982905984,1872.0
BTC,0.55,0.35,0.02,0.0005,0.0005,0.49166129930096275,0.23167607404399984,-0.7975678878344306,0.1847773970370461,1.2763899021783067,1.092724967707034,0.24732905982905984,1872.0
BTC,0.55,0.35,0.03,0.0005,0.0005,0.49166129930096275,0.23167607404399984,-0.7975678878344306,0.1847773970370461,1.2763899021783067,1.092724967707034,0.24732905982905984,1872.0
BTC,0.55,0.4,0.01,0.0005,0.001,0.4621904768136629,0.21755442001178218,-0.7647977751270844,0.16638513639407426,1.1099975504211805,1.084099144959822,0.25046816479400746,2136.0
BTC,0.55,0.4,0.02,0.0005,0.001,0.4621904768136629,0.21755442001178218,-0.7647977751270844,0.16638513639407426,1.1099975504211805,1.084099144959822,0.25046816479400746,2136.0
BTC,0.55,0.4,0.03,0.0005,0.001,0.4621904768136629,0.21755442001178218,-0.7647977751270844,0.16638513639407426,1.1099975504211805,1.084099144959822,0.25046816479400746,2136.0
BTC,0.55,0.35,0.01,0.0005,0.001,0.3746738743858605,0.13296481112672276,-0.8046935325488095,0.10699592357024779,0.6374693133502496,1.0689427852650208,0.24252136752136752,1872.0
BTC,0.55,0.35,0.02,0.0005,0.001,0.3746738743858605,0.13296481112672276,-0.8046935325488095,0.10699592357024779,0.6374693133502496,1.0689427852650208,0.24252136752136752,1872.0
BTC,0.55,0.35,0.03,0.0005,0.001,0.3746738743858605,0.13296481112672276,-0.8046935325488095,0.10699592357024779,0.6374693133502496,1.0689427852650208,0.24252136752136752,1872.0
BTC,0.55,0.35,0.01,0.001,0.0002,0.22906053585292288,0.02016572111847859,-0.8563435683149025,0.01726878558024114,0.08661120088686669,1.0825332574373097,0.24465811965811965,1872.0
BTC,0.55,0.35,0.02,0.001,0.0002,0.22906053585292288,0.02016572111847859,-0.8563435683149025,0.01726878558024114,0.08661120088686669,1.0825332574373097,0.24465811965811965,1872.0
BTC,0.55,0.35,0.03,0.001,0.0002,0.22906053585292288,0.02016572111847859,-0.8563435683149025,0.01726878558024114,0.08661120088686669,1.0825332574373097,0.24465811965811965,1872.0
BTC,0.55,0.4,0.01,0.001,0.0002,0.2078838726476039,-0.0015945113279636075,-0.8508128920163116,-0.0013566307942974865,-0.006564483263298504,1.0781249909804032,0.24812734082397003,2136.0
BTC,0.55,0.4,0.02,0.001,0.0002,0.2078838726476039,-0.0015945113279636075,-0.8508128920163116,-0.0013566307942974865,-0.006564483263298504,1.0781249909804032,0.24812734082397003,2136.0
BTC,0.55,0.4,0.03,0.001,0.0002,0.2078838726476039,-0.0015945113279636075,-0.8508128920163116,-0.0013566307942974865,-0.006564483263298504,1.0781249909804032,0.24812734082397003,2136.0
BTC,0.55,0.35,0.01,0.001,0.0005,0.15899543996057133,-0.027094185755919365,-0.8593769663605375,-0.023284119160930872,-0.10800801628879053,1.070700924839532,0.23931623931623933,1872.0
BTC,0.55,0.35,0.02,0.001,0.0005,0.15899543996057133,-0.027094185755919365,-0.8593769663605375,-0.023284119160930872,-0.10800801628879053,1.070700924839532,0.23931623931623933,1872.0
BTC,0.55,0.35,0.03,0.001,0.0005,0.15899543996057133,-0.027094185755919365,-0.8593769663605375,-0.023284119160930872,-0.10800801628879053,1.070700924839532,0.23931623931623933,1872.0
BTC,0.55,0.4,0.01,0.001,0.0005,0.16803773537151706,-0.029894114926314563,-0.8488825705379819,-0.02537659312260776,-0.1172408386596342,1.0718216103855545,0.24391385767790263,2136.0
BTC,0.55,0.4,0.02,0.001,0.0005,0.16803773537151706,-0.029894114926314563,-0.8488825705379819,-0.02537659312260776,-0.1172408386596342,1.0718216103855545,0.24391385767790263,2136.0
BTC,0.55,0.4,0.03,0.001,0.0005,0.16803773537151706,-0.029894114926314563,-0.8488825705379819,-0.02537659312260776,-0.1172408386596342,1.0718216103855545,0.24391385767790263,2136.0
